Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.10000001	7.450581e-09	-0.1	-0.1	26.538462	-0.05349296	0.009685421	-0.026434023	-0.08579432	400	-2.2351742e-08	0.0012097035	0.018672716	-0.0010948819	0.9189388	0.05154858	0.43	1.0	63.38981318473816
1	-0.1	0.0	-0.1	-0.1	30.636364	-0.081510894	0.009400506	-0.04568188	-0.1041972	800	1.8626451e-08	0.00014142007	-0.00018828269	-0.00012854919	0.9188388	0.021898886	0.3625	1.0	124.40660429000854
2	-0.1	0.0	-0.1	-0.1	30.333334	-0.08415648	0.008999492	-0.05494269	-0.10879003	1200	4.656613e-09	7.4136784e-05	-0.0012978939	-6.363815e-05	0.91877127	0.04098487	0.3225	1.0	186.78707075119019
3	-0.099999994	7.450581e-09	-0.1	-0.1	35.77778	-0.086155325	0.0064452062	-0.07058413	-0.10605191	1600	-1.3038516e-08	4.5780922e-05	0.0076418137	-3.8567654e-05	0.9185971	0.058362562	0.5025	1.0	247.34143829345703
4	-0.1	0.0	-0.1	-0.1	37.25	-0.082565635	0.006874599	-0.06506844	-0.10543536	2000	-5.2154064e-08	0.00011899618	-0.0048307963	-0.00011340308	0.9184205	0.091101475	0.58000004	1.0	308.9113759994507
5	0.78000003	0.44000003	1.0	-0.1	52.4	-0.07583979	0.009376425	-0.044561107	-0.102813534	2400	-4.4703484e-08	0.36289415	0.03339885	-0.35691985	0.91823983	0.030585289	0.4225	1.0	369.874050617218
6	0.175	0.47631398	1.0	-0.1	71.25	0.34031177	0.30353716	0.98246914	-0.11732368	2800	7.4505806e-08	0.24820396	-0.0022887737	-0.24750964	0.9180823	0.026414532	0.3125	4.0	430.38442182540894
7	0.81666666	0.4099458	1.0	-0.1	49.333332	0.11694875	0.19975653	0.72973704	-0.18344752	3200	-7.450581e-09	0.15204306	-0.060313262	-0.14928496	0.91747355	0.017130967	0.2425	46.0	499.80195212364197
8	0.78000003	0.44000003	1.0	-0.1	46.6	0.3560945	0.32646033	1.1848111	-0.101862594	3600	3.7252903e-08	0.074688435	-0.00643541	-0.07397947	0.9073315	0.015746456	0.2375	3.0	560.6777033805847
9	0.175	0.47631398	1.0	-0.1	56.75	0.11757694	0.2626468	1.0693572	-0.23296493	4000	0.0	0.11889256	-0.0042179953	-0.117959544	0.90697753	0.023428772	0.39749998	2.0	620.740846157074
10	0.175	0.47631398	1.0	-0.1	61.75	0.15555179	0.27475968	1.1473749	-0.16375235	4400	-1.8626451e-09	0.025522009	-0.0013839907	-0.02501655	0.9068458	0.018050268	0.22749999	1.0	680.6838002204895
11	0.45000002	0.54999995	1.0	-0.1	39.166668	0.08868971	0.21120024	0.814911	-0.2000321	4800	0.0	0.22513771	-0.0013776198	-0.22153948	0.9068269	0.024798574	0.24499999	1.0	741.2447526454926
12	0.56	0.5388878	1.0	-0.1	51.4	0.49069214	0.36546102	1.2836175	-0.22393137	5200	-2.9802322e-08	0.24780999	-0.0037955344	-0.24742493	0.90681183	0.016942829	0.1825	4.0	802.3120074272156
13	0.8428572	0.38491985	1.0	-0.1	41.42857	0.4716813	0.3086395	1.2381699	-0.3082108	5600	-7.450581e-09	0.1221492	-0.031127773	-0.120258726	0.9068033	0.015836028	0.099999994	17.0	865.8186614513397
14	0.6333334	0.51854503	1.0	-0.1	50.833332	0.14841986	0.22249453	0.843533	-0.26362425	6000	-7.450581e-09	0.09623714	-0.08420946	-0.09483755	0.9071292	0.015672697	0.24000001	59.0	937.2919411659241
15	1.0	0.0	1.0	1.0	38.333332	0.38722593	0.24085401	1.469852	-0.07178752	6400	-2.2351742e-08	0.16871789	-0.011148205	-0.16709507	0.90568644	0.025324188	0.2525	4.0	998.8436179161072
16	0.44999996	0.55	1.0	-0.1	51.166668	0.4082539	0.4013524	1.2159218	-0.29154855	6800	2.9802322e-08	0.17888275	-0.027559644	-0.17489979	0.90545094	0.015379895	0.1175	8.0	1061.2614040374756
17	0.44999996	0.55	1.0	-0.1	55.666668	0.1765988	0.28747594	1.2322469	-0.25781858	7200	-1.4901161e-08	0.23755106	-0.01288873	-0.23388413	0.90520537	0.018717472	0.105	4.0	1122.530573606491
18	0.6857143	0.49692938	1.0	-0.1	45.285713	0.46426636	0.46350005	1.7050098	-0.1700179	7600	1.4901161e-08	0.12208111	-0.006318612	-0.108911805	0.905214	0.016564589	0.375	2.0	1183.591786146164
