Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.1	0.0	-0.1	-0.1	6.2580647	-0.05292624	0.008643371	-0.022749271	-0.081367575	400	1.937151e-07	0.0019527352	-0.005209185	-0.0018813687	0.9189388	0.061915882	0.5075	1.0	72.21527099609375
1	-0.10000001	7.450581e-09	-0.1	-0.1	7.647059	-0.095419236	0.002217918	-0.088235974	-0.104839675	800	-2.2351742e-08	0.00022073429	-0.00025895983	-0.00010910223	0.9188388	0.056347124	0.525	1.0	140.43720197677612
2	-0.10000001	7.450581e-09	-0.1	-0.1	6.875	-0.09881545	0.0058003115	-0.07984728	-0.12589435	1200	-1.1175871e-08	4.2680273e-05	0.0013766992	-3.778142e-05	0.91880584	0.029276991	0.2475	1.0	210.13305926322937
3	-0.10000001	7.450581e-09	-0.1	-0.1	7.714286	-0.096815035	0.0023730036	-0.08963213	-0.107480206	1600	-1.8626451e-08	9.878536e-06	-0.04470477	-5.592988e-06	0.91873413	0.016847007	0.114999995	26.0	282.26233768463135
4	-0.1	0.0	-0.1	-0.1	8.041667	-0.0962159	0.0026004503	-0.0876414	-0.10466974	2000	0.0	0.0002397987	-0.0052040815	-0.0001297429	0.91250986	0.018326052	0.2375	3.0	351.17768001556396
5	-0.10000001	7.450581e-09	-0.1	-0.1	7.6862745	-0.09477428	0.0061561842	-0.083921425	-0.12762436	2400	7.450581e-09	0.00019218712	-0.0056301625	-9.173343e-05	0.9119047	0.031406708	0.37	2.0	420.4285991191864
6	-0.1	0.0	-0.1	-0.1	9.0	-0.09646449	0.0050689853	-0.08561896	-0.124859005	2800	-7.450581e-09	0.0002651796	-0.00040212646	-0.00015811363	0.91155225	0.021009207	0.365	2.0	487.35105061531067
7	-0.1	0.0	-0.1	-0.1	8.886364	-0.098516084	0.008010689	-0.07485497	-0.14280032	3200	-2.0489097e-08	7.8920086e-05	-0.003758423	-7.2198665e-05	0.91124105	0.027113944	0.425	2.0	554.5673885345459
8	-0.1	0.0	-0.1	-0.1	9.794871	-0.09562012	0.0031693152	-0.08706318	-0.104849204	3600	-7.450581e-09	0.00022127117	0.0004485175	-0.00015623333	0.91098094	0.023154426	0.5375	2.0	621.3568756580353
9	-0.1	0.0	-0.1	-0.1	10.794118	-0.10001221	0.008886454	-0.0722876	-0.13532849	4000	-2.6077032e-08	0.0001142023	-0.0010780087	-9.727386e-05	0.91081554	0.021364674	0.1375	2.0	687.3939251899719
10	0.0064516086	0.32521504	1.0	-0.1	12.4838705	-0.094971985	0.0032583217	-0.08767694	-0.11014697	4400	-2.9802322e-08	0.12572898	-0.0013883216	-0.06953403	0.9106363	0.01849905	0.38	2.0	752.4125607013702
11	-0.1	0.0	-0.1	-0.1	12.0	0.010208192	0.20318708	0.87596816	-0.34133074	4800	-7.450581e-09	0.05244328	-0.0036179405	-0.048748534	0.9104918	0.03312326	0.3975	1.0	818.1986348628998
12	-0.065625	0.1913919	1.0	-0.1	11.59375	-0.077792026	0.0042328956	-0.0703316	-0.09488289	5200	0.0	0.031964745	0.003507588	-0.0005409642	0.9104374	0.046958268	0.4425	1.0	883.9516668319702
13	0.022222217	0.34569666	1.0	-0.1	10.388889	-0.060948897	0.0021047944	-0.04478213	-0.06731351	5600	3.7252903e-09	0.10871424	0.022191644	-0.00948611	0.9103971	0.082257375	0.6225	1.0	950.7893953323364
14	0.010000003	0.32999998	1.0	-0.1	9.475	0.04982316	0.035434306	0.12556563	-0.099925615	6000	2.9802322e-08	0.102410294	0.032538988	-0.0039577093	0.9103673	0.028499547	0.5075	1.0	1017.6829581260681
15	-0.046341464	0.23694968	1.0	-0.1	9.097561	0.017667262	0.007114141	0.07743919	0.0052182283	6400	2.2351742e-08	0.0514766	0.020377945	-0.0035272958	0.9103425	0.061279804	0.52	1.0	1085.4218351840973
